   Município;Região Administrativa;Região de Governo;Região Metropolitana;
"Região Metropolitana de Campinas";

"Americana";"-";"-";"Região Metropolitana de Campinas";
"Artur Nogueira";"-";"-";"Região Metropolitana de Campinas";
"Campinas";"-";"-";"Região Metropolitana de Campinas";
"Cosmópolis";"-";"-";"Região Metropolitana de Campinas";
"Engenheiro Coelho";"-";"-";"Região Metropolitana de Campinas";
"Holambra";"-";"-";"Região Metropolitana de Campinas";
"Hortolândia";"-";"-";"Região Metropolitana de Campinas";
"Indaiatuba";"-";"-";"Região Metropolitana de Campinas";
"Itatiba";"-";"-";"Região Metropolitana de Campinas";
"Jaguariúna";"-";"-";"Região Metropolitana de Campinas";
"Monte Mor";"-";"-";"Região Metropolitana de Campinas";
"Nova Odessa";"-";"-";"Região Metropolitana de Campinas";
"Paulínia";"-";"-";"Região Metropolitana de Campinas";
"Pedreira";"-";"-";"Região Metropolitana de Campinas";
"Santa Bárbara d'Oeste";"-";"-";"Região Metropolitana de Campinas";
"Santo Antonio de Posse";"-";"-";"Região Metropolitana de Campinas";
"Sumaré";"-";"-";"Região Metropolitana de Campinas";
"Valinhos";"-";"-";"Região Metropolitana de Campinas";
"Vinhedo";"-";"-";"Região Metropolitana de Campinas";

"Região Metropolitana do Vale do Paraíba e Litoral Norte";

"Aparecida";"-";"-";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"Areias";"-";"-";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"Bananal";"-";"-";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"Caçapava";"-";"-";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"Cachoeira Paulista";"-";"-";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"Campos do Jordão";"-";"-";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"Caraguatatuba";"-";"-";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"Cruzeiro";"-";"-";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"Cunha";"-";"-";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"Guaratinguetá";"-";"-";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"Igaratá";"-";"-";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"Ilhabela";"-";"-";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"Jacareí";"-";"-";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"Jambeiro";"-";"-";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"Lagoinha";"-";"-";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"Lavrinhas";"-";"-";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"Lorena";"-";"-";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"Monteiro Lobato";"-";"-";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"Natividade da Serra";"-";"-";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"Paraibuna";"-";"-";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"Pindamonhangaba";"-";"-";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"Piquete";"-";"-";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"Queluz";"-";"-";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"Redenção da Serra";"-";"-";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"Roseira";"-";"-";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"Santa Branca";"-";"-";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"Santo Antonio do Pinhal";"-";"-";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"São Bento do Sapucaí";"-";"-";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"São José do Barreiro";"-";"-";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"São José dos Campos";"-";"-";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"São Luís do Paraitinga";"-";"-";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"São Sebastião";"-";"-";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"Silveiras";"-";"-";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"Taubaté";"-";"-";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"Tremembé";"-";"-";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"Ubatuba";"-";"-";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"Arapeí";"-";"-";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"Potim";"-";"-";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"Canas";"-";"-";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
