   Município;Região Administrativa;Região de Governo;Região Metropolitana;
"Bananal";"Região Administrativa de São José dos Campos";"Região de Governo de Cruzeiro";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"Cruzeiro";"Região Administrativa de São José dos Campos";"Região de Governo de Cruzeiro";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"Lavrinhas";"Região Administrativa de São José dos Campos";"Região de Governo de Cruzeiro";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"Queluz";"Região Administrativa de São José dos Campos";"Região de Governo de Cruzeiro";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"São José do Barreiro";"Região Administrativa de São José dos Campos";"Região de Governo de Cruzeiro";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"Silveiras";"Região Administrativa de São José dos Campos";"Região de Governo de Cruzeiro";"Região Metropolitana do Vale do Paraíba e Litoral Norte";

"Região de Governo de Guaratinguetá";

"Aparecida";"Região Administrativa de São José dos Campos";"Região de Governo de Guaratinguetá";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"Cachoeira Paulista";"Região Administrativa de São José dos Campos";"Região de Governo de Guaratinguetá";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"Canas";"Região Administrativa de São José dos Campos";"Região de Governo de Guaratinguetá";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"Cunha";"Região Administrativa de São José dos Campos";"Região de Governo de Guaratinguetá";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"Guaratinguetá";"Região Administrativa de São José dos Campos";"Região de Governo de Guaratinguetá";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"Lorena";"Região Administrativa de São José dos Campos";"Região de Governo de Guaratinguetá";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"Piquete";"Região Administrativa de São José dos Campos";"Região de Governo de Guaratinguetá";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"Potim";"Região Administrativa de São José dos Campos";"Região de Governo de Guaratinguetá";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"Roseira";"Região Administrativa de São José dos Campos";"Região de Governo de Guaratinguetá";"Região Metropolitana do Vale do Paraíba e Litoral Norte";

"Região de Governo de São José dos Campos";

"Caçapava";"Região Administrativa de São José dos Campos";"Região de Governo de São José dos Campos";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"Igaratá";"Região Administrativa de São José dos Campos";"Região de Governo de São José dos Campos";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"Jacareí";"Região Administrativa de São José dos Campos";"Região de Governo de São José dos Campos";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"Jambeiro";"Região Administrativa de São José dos Campos";"Região de Governo de São José dos Campos";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"Monteiro Lobato";"Região Administrativa de São José dos Campos";"Região de Governo de São José dos Campos";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"Paraibuna";"Região Administrativa de São José dos Campos";"Região de Governo de São José dos Campos";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"Santa Branca";"Região Administrativa de São José dos Campos";"Região de Governo de São José dos Campos";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"São José dos Campos";"Região Administrativa de São José dos Campos";"Região de Governo de São José dos Campos";"Região Metropolitana do Vale do Paraíba e Litoral Norte";

"Região de Governo de Taubaté";

"Campos do Jordão";"Região Administrativa de São José dos Campos";"Região de Governo de Taubaté";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"Lagoinha";"Região Administrativa de São José dos Campos";"Região de Governo de Taubaté";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"Natividade da Serra";"Região Administrativa de São José dos Campos";"Região de Governo de Taubaté";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"Pindamonhangaba";"Região Administrativa de São José dos Campos";"Região de Governo de Taubaté";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"Redenção da Serra";"Região Administrativa de São José dos Campos";"Região de Governo de Taubaté";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"Santo Antonio do Pinhal";"Região Administrativa de São José dos Campos";"Região de Governo de Taubaté";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"São Bento do Sapucaí";"Região Administrativa de São José dos Campos";"Região de Governo de Taubaté";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"São Luís do Paraitinga";"Região Administrativa de São José dos Campos";"Região de Governo de Taubaté";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"Taubaté";"Região Administrativa de São José dos Campos";"Região de Governo de Taubaté";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"Tremembé";"Região Administrativa de São José dos Campos";"Região de Governo de Taubaté";"Região Metropolitana do Vale do Paraíba e Litoral Norte";

"Região Administrativa de Sorocaba";


"Região de Governo de Avaré";

"Águas de Santa Bárbara";"Região Administrativa de Sorocaba";"Região de Governo de Avaré";"-";
"Avaré";"Região Administrativa de Sorocaba";"Região de Governo de Avaré";"-";
"Cerqueira César";"Região Administrativa de Sorocaba";"Região de Governo de Avaré";"-";
"Iaras";"Região Administrativa de Sorocaba";"Região de Governo de Avaré";"-";
"Manduri";"Região Administrativa de Sorocaba";"Região de Governo de Avaré";"-";

"Região de Governo de Botucatu";

"Anhembi";"Região Administrativa de Sorocaba";"Região de Governo de Botucatu";"-";
"Areiópolis";"Região Administrativa de Sorocaba";"Região de Governo de Botucatu";"-";
"Bofete";"Região Administrativa de Sorocaba";"Região de Governo de Botucatu";"-";
"Botucatu";"Região Administrativa de Sorocaba";"Região de Governo de Botucatu";"-";
"Conchas";"Região Administrativa de Sorocaba";"Região de Governo de Botucatu";"-";
"Itatinga";"Região Administrativa de Sorocaba";"Região de Governo de Botucatu";"-";
"Laranjal Paulista";"Região Administrativa de Sorocaba";"Região de Governo de Botucatu";"-";
"Pardinho";"Região Administrativa de Sorocaba";"Região de Governo de Botucatu";"-";
"Pereiras";"Região Administrativa de Sorocaba";"Região de Governo de Botucatu";"-";
"Porangaba";"Região Administrativa de Sorocaba";"Região de Governo de Botucatu";"-";
"Pratânia";"Região Administrativa de Sorocaba";"Região de Governo de Botucatu";"-";
"São Manuel";"Região Administrativa de Sorocaba";"Região de Governo de Botucatu";"-";
"Torre de Pedra";"Região Administrativa de Sorocaba";"Região de Governo de Botucatu";"-";

"Região de Governo de Itapetininga";

"Alambari";"Região Administrativa de Sorocaba";"Região de Governo de Itapetininga";"-";
"Boituva";"Região Administrativa de Sorocaba";"Região de Governo de Itapetininga";"-";
"Capela do Alto";"Região Administrativa de Sorocaba";"Região de Governo de Itapetininga";"-";
"Cerquilho";"Região Administrativa de Sorocaba";"Região de Governo de Itapetininga";"-";
"Cesário Lange";"Região Administrativa de Sorocaba";"Região de Governo de Itapetininga";"-";
"Guareí";"Região Administrativa de Sorocaba";"Região de Governo de Itapetininga";"-";
"Itapetininga";"Região Administrativa de Sorocaba";"Região de Governo de Itapetininga";"-";
"Quadra";"Região Administrativa de Sorocaba";"Região de Governo de Itapetininga";"-";
"São Miguel Arcanjo";"Região Administrativa de Sorocaba";"Região de Governo de Itapetininga";"-";
"Sarapuí";"Região Administrativa de Sorocaba";"Região de Governo de Itapetininga";"-";
"Tatuí";"Região Administrativa de Sorocaba";"Região de Governo de Itapetininga";"-";

"Região de Governo de Sorocaba";

"Alumínio";"Região Administrativa de Sorocaba";"Região de Governo de Sorocaba";"-";
"Araçariguama";"Região Administrativa de Sorocaba";"Região de Governo de Sorocaba";"-";
"Araçoiaba da Serra";"Região Administrativa de Sorocaba";"Região de Governo de Sorocaba";"-";
"Ibiúna";"Região Administrativa de Sorocaba";"Região de Governo de Sorocaba";"-";
"Iperó";"Região Administrativa de Sorocaba";"Região de Governo de Sorocaba";"-";
"Itu";"Região Administrativa de Sorocaba";"Região de Governo de Sorocaba";"-";
"Jumirim";"Região Administrativa de Sorocaba";"Região de Governo de Sorocaba";"-";
"Mairinque";"Região Administrativa de Sorocaba";"Região de Governo de Sorocaba";"-";
"Piedade";"Região Administrativa de Sorocaba";"Região de Governo de Sorocaba";"-";
"Pilar do Sul";"Região Administrativa de Sorocaba";"Região de Governo de Sorocaba";"-";
"Porto Feliz";"Região Administrativa de Sorocaba";"Região de Governo de Sorocaba";"-";
"Salto de Pirapora";"Região Administrativa de Sorocaba";"Região de Governo de Sorocaba";"-";
"Salto";"Região Administrativa de Sorocaba";"Região de Governo de Sorocaba";"-";
"São Roque";"Região Administrativa de Sorocaba";"Região de Governo de Sorocaba";"-";
"Sorocaba";"Região Administrativa de Sorocaba";"Região de Governo de Sorocaba";"-";
"Tapiraí";"Região Administrativa de Sorocaba";"Região de Governo de Sorocaba";"-";
"Tietê";"Região Administrativa de Sorocaba";"Região de Governo de Sorocaba";"-";
"Votorantim";"Região Administrativa de Sorocaba";"Região de Governo de Sorocaba";"-";

"Região Administrativa de Campinas";


"Região de Governo de Bragança Paulista";

"Águas de Lindóia";"Região Administrativa de Campinas";"Região de Governo de Bragança Paulista";"-";
"Amparo";"Região Administrativa de Campinas";"Região de Governo de Bragança Paulista";"-";
"Atibaia";"Região Administrativa de Campinas";"Região de Governo de Bragança Paulista";"-";
"Bom Jesus dos Perdões";"Região Administrativa de Campinas";"Região de Governo de Bragança Paulista";"-";
"Bragança Paulista";"Região Administrativa de Campinas";"Região de Governo de Bragança Paulista";"-";
"Joanópolis";"Região Administrativa de Campinas";"Região de Governo de Bragança Paulista";"-";
"Lindóia";"Região Administrativa de Campinas";"Região de Governo de Bragança Paulista";"-";
"Monte Alegre do Sul";"Região Administrativa de Campinas";"Região de Governo de Bragança Paulista";"-";
"Nazaré Paulista";"Região Administrativa de Campinas";"Região de Governo de Bragança Paulista";"-";
"Pedra Bela";"Região Administrativa de Campinas";"Região de Governo de Bragança Paulista";"-";
"Pinhalzinho";"Região Administrativa de Campinas";"Região de Governo de Bragança Paulista";"-";
"Piracaia";"Região Administrativa de Campinas";"Região de Governo de Bragança Paulista";"-";
"Serra Negra";"Região Administrativa de Campinas";"Região de Governo de Bragança Paulista";"-";
"Socorro";"Região Administrativa de Campinas";"Região de Governo de Bragança Paulista";"-";
"Tuiuti";"Região Administrativa de Campinas";"Região de Governo de Bragança Paulista";"-";
"Vargem";"Região Administrativa de Campinas";"Região de Governo de Bragança Paulista";"-";

"Região de Governo de Campinas";

"Americana";"Região Administrativa de Campinas";"Região de Governo de Campinas";"Região Metropolitana de Campinas";
"Artur Nogueira";"Região Administrativa de Campinas";"Região de Governo de Campinas";"Região Metropolitana de Campinas";
"Campinas";"Região Administrativa de Campinas";"Região de Governo de Campinas";"Região Metropolitana de Campinas";
"Cosmópolis";"Região Administrativa de Campinas";"Região de Governo de Campinas";"Região Metropolitana de Campinas";
"Engenheiro Coelho";"Região Administrativa de Campinas";"Região de Governo de Campinas";"Região Metropolitana de Campinas";
"Estiva Gerbi";"Região Administrativa de Campinas";"Região de Governo de Campinas";"-";
"Holambra";"Região Administrativa de Campinas";"Região de Governo de Campinas";"Região Metropolitana de Campinas";
"Hortolândia";"Região Administrativa de Campinas";"Região de Governo de Campinas";"Região Metropolitana de Campinas";
"Indaiatuba";"Região Administrativa de Campinas";"Região de Governo de Campinas";"Região Metropolitana de Campinas";
"Itapira";"Região Administrativa de Campinas";"Região de Governo de Campinas";"-";
"Jaguariúna";"Região Administrativa de Campinas";"Região de Governo de Campinas";"Região Metropolitana de Campinas";
"Mogi Guaçu";"Região Administrativa de Campinas";"Região de Governo de Campinas";"-";
"Moji Mirim";"Região Administrativa de Campinas";"Região de Governo de Campinas";"-";
"Monte Mor";"Região Administrativa de Campinas";"Região de Governo de Campinas";"Região Metropolitana de Campinas";
"Nova Odessa";"Região Administrativa de Campinas";"Região de Governo de Campinas";"Região Metropolitana de Campinas";
"Paulínia";"Região Administrativa de Campinas";"Região de Governo de Campinas";"Região Metropolitana de Campinas";
"Pedreira";"Região Administrativa de Campinas";"Região de Governo de Campinas";"Região Metropolitana de Campinas";
"Santa Bárbara d'Oeste";"Região Administrativa de Campinas";"Região de Governo de Campinas";"Região Metropolitana de Campinas";
"Santo Antonio de Posse";"Região Administrativa de Campinas";"Região de Governo de Campinas";"Região Metropolitana de Campinas";
"Sumaré";"Região Administrativa de Campinas";"Região de Governo de Campinas";"Região Metropolitana de Campinas";
"Valinhos";"Região Administrativa de Campinas";"Região de Governo de Campinas";"Região Metropolitana de Campinas";
"Vinhedo";"Região Administrativa de Campinas";"Região de Governo de Campinas";"Região Metropolitana de Campinas";

"Região de Governo de Jundiaí";

"Cabreúva";"Região Administrativa de Campinas";"Região de Governo de Jundiaí";"-";
"Campo Limpo Paulista";"Região Administrativa de Campinas";"Região de Governo de Jundiaí";"-";
"Itatiba";"Região Administrativa de Campinas";"Região de Governo de Jundiaí";"Região Metropolitana de Campinas";
"Itupeva";"Região Administrativa de Campinas";"Região de Governo de Jundiaí";"-";
"Jarinu";"Região Administrativa de Campinas";"Região de Governo de Jundiaí";"-";
"Jundiaí";"Região Administrativa de Campinas";"Região de Governo de Jundiaí";"-";
"Louveira";"Região Administrativa de Campinas";"Região de Governo de Jundiaí";"-";
"Morungaba";"Região Administrativa de Campinas";"Região de Governo de Jundiaí";"-";
"Várzea Paulista";"Região Administrativa de Campinas";"Região de Governo de Jundiaí";"-";

"Região de Governo de Limeira";

"Araras";"Região Administrativa de Campinas";"Região de Governo de Limeira";"-";
"Conchal";"Região Administrativa de Campinas";"Região de Governo de Limeira";"-";
"Cordeirópolis";"Região Administrativa de Campinas";"Região de Governo de Limeira";"-";
"Iracemápolis";"Região Administrativa de Campinas";"Região de Governo de Limeira";"-";
"Leme";"Região Administrativa de Campinas";"Região de Governo de Limeira";"-";
"Limeira";"Região Administrativa de Campinas";"Região de Governo de Limeira";"-";
"Pirassununga";"Região Administrativa de Campinas";"Região de Governo de Limeira";"-";
"Santa Cruz da Conceição";"Região Administrativa de Campinas";"Região de Governo de Limeira";"-";

"Região de Governo de Piracicaba";

"Águas de São Pedro";"Região Administrativa de Campinas";"Região de Governo de Piracicaba";"-";
"Capivari";"Região Administrativa de Campinas";"Região de Governo de Piracicaba";"-";
"Charqueada";"Região Administrativa de Campinas";"Região de Governo de Piracicaba";"-";
"Elias Fausto";"Região Administrativa de Campinas";"Região de Governo de Piracicaba";"-";
"Mombuca";"Região Administrativa de Campinas";"Região de Governo de Piracicaba";"-";
"Piracicaba";"Região Administrativa de Campinas";"Região de Governo de Piracicaba";"-";
"Rafard";"Região Administrativa de Campinas";"Região de Governo de Piracicaba";"-";
"Rio das Pedras";"Região Administrativa de Campinas";"Região de Governo de Piracicaba";"-";
"Saltinho";"Região Administrativa de Campinas";"Região de Governo de Piracicaba";"-";
"Santa Maria da Serra";"Região Administrativa de Campinas";"Região de Governo de Piracicaba";"-";
"São Pedro";"Região Administrativa de Campinas";"Região de Governo de Piracicaba";"-";

"Região de Governo de Rio Claro";

"Analândia";"Região Administrativa de Campinas";"Região de Governo de Rio Claro";"-";
"Brotas";"Região Administrativa de Campinas";"Região de Governo de Rio Claro";"-";
"Corumbataí";"Região Administrativa de Campinas";"Região de Governo de Rio Claro";"-";
"Ipeúna";"Região Administrativa de Campinas";"Região de Governo de Rio Claro";"-";
"Itirapina";"Região Administrativa de Campinas";"Região de Governo de Rio Claro";"-";
"Rio Claro";"Região Administrativa de Campinas";"Região de Governo de Rio Claro";"-";
"Santa Gertrudes";"Região Administrativa de Campinas";"Região de Governo de Rio Claro";"-";
"Torrinha";"Região Administrativa de Campinas";"Região de Governo de Rio Claro";"-";

"Região de Governo de São João da Boa Vista";

"Aguaí";"Região Administrativa de Campinas";"Região de Governo de São João da Boa Vista";"-";
"Águas da Prata";"Região Administrativa de Campinas";"Região de Governo de São João da Boa Vista";"-";
"Caconde";"Região Administrativa de Campinas";"Região de Governo de São João da Boa Vista";"-";
"Casa Branca";"Região Administrativa de Campinas";"Região de Governo de São João da Boa Vista";"-";
"Divinolândia";"Região Administrativa de Campinas";"Região de Governo de São João da Boa Vista";"-";
"Espírito Santo do Pinhal";"Região Administrativa de Campinas";"Região de Governo de São João da Boa Vista";"-";
"Itobi";"Região Administrativa de Campinas";"Região de Governo de São João da Boa Vista";"-";
"Mococa";"Região Administrativa de Campinas";"Região de Governo de São João da Boa Vista";"-";
"Santa Cruz das Palmeiras";"Região Administrativa de Campinas";"Região de Governo de São João da Boa Vista";"-";
"Santo Antonio do Jardim";"Região Administrativa de Campinas";"Região de Governo de São João da Boa Vista";"-";
"São João da Boa Vista";"Região Administrativa de Campinas";"Região de Governo de São João da Boa Vista";"-";
"São José do Rio Pardo";"Região Administrativa de Campinas";"Região de Governo de São João da Boa Vista";"-";
"São Sebastião da Grama";"Região Administrativa de Campinas";"Região de Governo de São João da Boa Vista";"-";
"Tambaú";"Região Administrativa de Campinas";"Região de Governo de São João da Boa Vista";"-";
"Tapiratiba";"Região Administrativa de Campinas";"Região de Governo de São João da Boa Vista";"-";
"Vargem Grande do Sul";"Região Administrativa de Campinas";"Região de Governo de São João da Boa Vista";"-";

"Região Administrativa de Ribeirão Preto";


"Região de Governo de Ribeirão Preto";

"Altinópolis";"Região Administrativa de Ribeirão Preto";"Região de Governo de Ribeirão Preto";"-";
"Barrinha";"Região Administrativa de Ribeirão Preto";"Região de Governo de Ribeirão Preto";"-";
"Brodowski";"Região Administrativa de Ribeirão Preto";"Região de Governo de Ribeirão Preto";"-";
"Cajuru";"Região Administrativa de Ribeirão Preto";"Região de Governo de Ribeirão Preto";"-";
"Cássia dos Coqueiros";"Região Administrativa de Ribeirão Preto";"Região de Governo de Ribeirão Preto";"-";
"Cravinhos";"Região Administrativa de Ribeirão Preto";"Região de Governo de Ribeirão Preto";"-";
"Dumont";"Região Administrativa de Ribeirão Preto";"Região de Governo de Ribeirão Preto";"-";
"Guariba";"Região Administrativa de Ribeirão Preto";"Região de Governo de Ribeirão Preto";"-";
"Guatapará";"Região Administrativa de Ribeirão Preto";"Região de Governo de Ribeirão Preto";"-";
"Jaboticabal";"Região Administrativa de Ribeirão Preto";"Região de Governo de Ribeirão Preto";"-";
"Jardinópolis";"Região Administrativa de Ribeirão Preto";"Região de Governo de Ribeirão Preto";"-";
"Luís Antônio";"Região Administrativa de Ribeirão Preto";"Região de Governo de Ribeirão Preto";"-";
"Monte Alto";"Região Administrativa de Ribeirão Preto";"Região de Governo de Ribeirão Preto";"-";
"Pitangueiras";"Região Administrativa de Ribeirão Preto";"Região de Governo de Ribeirão Preto";"-";
"Pontal";"Região Administrativa de Ribeirão Preto";"Região de Governo de Ribeirão Preto";"-";
"Pradópolis";"Região Administrativa de Ribeirão Preto";"Região de Governo de Ribeirão Preto";"-";
"Ribeirão Preto";"Região Administrativa de Ribeirão Preto";"Região de Governo de Ribeirão Preto";"-";
"Santa Cruz da Esperança";"Região Administrativa de Ribeirão Preto";"Região de Governo de Ribeirão Preto";"-";
"Santa Rosa do Viterbo";"Região Administrativa de Ribeirão Preto";"Região de Governo de Ribeirão Preto";"-";
"Santo Antonio da Alegria";"Região Administrativa de Ribeirão Preto";"Região de Governo de Ribeirão Preto";"-";
"São Simão";"Região Administrativa de Ribeirão Preto";"Região de Governo de Ribeirão Preto";"-";
"Serra Azul";"Região Administrativa de Ribeirão Preto";"Região de Governo de Ribeirão Preto";"-";
"Serrana";"Região Administrativa de Ribeirão Preto";"Região de Governo de Ribeirão Preto";"-";
"Sertãozinho";"Região Administrativa de Ribeirão Preto";"Região de Governo de Ribeirão Preto";"-";
"Taquaral";"Região Administrativa de Ribeirão Preto";"Região de Governo de Ribeirão Preto";"-";

"Região Administrativa de Bauru";


"Região de Governo de Bauru";

"Agudos";"Região Administrativa de Bauru";"Região de Governo de Bauru";"-";
"Arealva";"Região Administrativa de Bauru";"Região de Governo de Bauru";"-";
"Avaí";"Região Administrativa de Bauru";"Região de Governo de Bauru";"-";
"Balbinos";"Região Administrativa de Bauru";"Região de Governo de Bauru";"-";
"Bauru";"Região Administrativa de Bauru";"Região de Governo de Bauru";"-";
"Borebi";"Região Administrativa de Bauru";"Região de Governo de Bauru";"-";
"Cabrália Paulista";"Região Administrativa de Bauru";"Região de Governo de Bauru";"-";
"Duartina";"Região Administrativa de Bauru";"Região de Governo de Bauru";"-";
"Iacanga";"Região Administrativa de Bauru";"Região de Governo de Bauru";"-";
"Lençóis Paulista";"Região Administrativa de Bauru";"Região de Governo de Bauru";"-";
"Lucianópolis";"Região Administrativa de Bauru";"Região de Governo de Bauru";"-";
"Macatuba";"Região Administrativa de Bauru";"Região de Governo de Bauru";"-";
"Paulistânia";"Região Administrativa de Bauru";"Região de Governo de Bauru";"-";
"Pederneiras";"Região Administrativa de Bauru";"Região de Governo de Bauru";"-";
"Pirajuí";"Região Administrativa de Bauru";"Região de Governo de Bauru";"-";
"Piratininga";"Região Administrativa de Bauru";"Região de Governo de Bauru";"-";
"Presidente Alves";"Região Administrativa de Bauru";"Região de Governo de Bauru";"-";
"Reginópolis";"Região Administrativa de Bauru";"Região de Governo de Bauru";"-";
"Ubirajara";"Região Administrativa de Bauru";"Região de Governo de Bauru";"-";

"Região de Governo de Jaú";

"Bariri";"Região Administrativa de Bauru";"Região de Governo de Jaú";"-";
"Barra Bonita";"Região Administrativa de Bauru";"Região de Governo de Jaú";"-";
"Bocaina";"Região Administrativa de Bauru";"Região de Governo de Jaú";"-";
"Boracéia";"Região Administrativa de Bauru";"Região de Governo de Jaú";"-";
"Dois Córregos";"Região Administrativa de Bauru";"Região de Governo de Jaú";"-";
"Igaraçu do Tietê";"Região Administrativa de Bauru";"Região de Governo de Jaú";"-";
"Itaju";"Região Administrativa de Bauru";"Região de Governo de Jaú";"-";
"Itapuí";"Região Administrativa de Bauru";"Região de Governo de Jaú";"-";
"Jaú";"Região Administrativa de Bauru";"Região de Governo de Jaú";"-";
"Mineiros do Tietê";"Região Administrativa de Bauru";"Região de Governo de Jaú";"-";

"Região de Governo de Lins";

"Cafelândia";"Região Administrativa de Bauru";"Região de Governo de Lins";"-";
"Getulina";"Região Administrativa de Bauru";"Região de Governo de Lins";"-";
"Guaiçara";"Região Administrativa de Bauru";"Região de Governo de Lins";"-";
"Guaimbê";"Região Administrativa de Bauru";"Região de Governo de Lins";"-";
"Guarantã";"Região Administrativa de Bauru";"Região de Governo de Lins";"-";
"Lins";"Região Administrativa de Bauru";"Região de Governo de Lins";"-";
"Pongaí";"Região Administrativa de Bauru";"Região de Governo de Lins";"-";
"Promissão";"Região Administrativa de Bauru";"Região de Governo de Lins";"-";
"Sabino";"Região Administrativa de Bauru";"Região de Governo de Lins";"-";
"Uru";"Região Administrativa de Bauru";"Região de Governo de Lins";"-";

"Região Administrativa de São José do Rio Preto";


"Região de Governo de Catanduva";

"Ariranha";"Região Administrativa de São José do Rio Preto";"Região de Governo de Catanduva";"-";
"Catanduva";"Região Administrativa de São José do Rio Preto";"Região de Governo de Catanduva";"-";
"Catiguá";"Região Administrativa de São José do Rio Preto";"Região de Governo de Catanduva";"-";
"Elisiário";"Região Administrativa de São José do Rio Preto";"Região de Governo de Catanduva";"-";
"Irapuã";"Região Administrativa de São José do Rio Preto";"Região de Governo de Catanduva";"-";
"Itajobi";"Região Administrativa de São José do Rio Preto";"Região de Governo de Catanduva";"-";
"Marapoama";"Região Administrativa de São José do Rio Preto";"Região de Governo de Catanduva";"-";
"Novais";"Região Administrativa de São José do Rio Preto";"Região de Governo de Catanduva";"-";
"Novo Horizonte";"Região Administrativa de São José do Rio Preto";"Região de Governo de Catanduva";"-";
"Palmares Paulista";"Região Administrativa de São José do Rio Preto";"Região de Governo de Catanduva";"-";
"Paraíso";"Região Administrativa de São José do Rio Preto";"Região de Governo de Catanduva";"-";
"Pindorama";"Região Administrativa de São José do Rio Preto";"Região de Governo de Catanduva";"-";
"Sales";"Região Administrativa de São José do Rio Preto";"Região de Governo de Catanduva";"-";
"Santa Adélia";"Região Administrativa de São José do Rio Preto";"Região de Governo de Catanduva";"-";
"Tabapuã";"Região Administrativa de São José do Rio Preto";"Região de Governo de Catanduva";"-";
"Urupês";"Região Administrativa de São José do Rio Preto";"Região de Governo de Catanduva";"-";

"Região de Governo de Fernandópolis";

"Estrela d'Oeste";"Região Administrativa de São José do Rio Preto";"Região de Governo de Fernandópolis";"-";
"Fernandópolis";"Região Administrativa de São José do Rio Preto";"Região de Governo de Fernandópolis";"-";
"Guarani d'Oeste";"Região Administrativa de São José do Rio Preto";"Região de Governo de Fernandópolis";"-";
"Indiaporã";"Região Administrativa de São José do Rio Preto";"Região de Governo de Fernandópolis";"-";
